imu_now,imu_mean,imu_std,imu_max,imu_min,imu_range,imu_max_diff,imu_mean_diff,imu_rate,label
1.0001,1.3253,0.2088,1.5715,0.9976,0.5739,0.1918,0.1273,-0.1837,speed_hump
0.9975,0.9972,0.0131,1.0224,0.9743,0.0481,0.0481,0.0173,0.0059,normal
0.998,1.2466,0.1535,1.4272,0.998,0.4293,0.1479,0.0941,-0.1473,speed_hump
1.0082,0.9981,0.011,1.0086,0.9756,0.033,0.025,0.011,0.0011,normal
1.0079,0.9984,0.0116,1.0152,0.9814,0.0338,0.0266,0.0113,0.0266,normal
0.9892,0.9922,0.0067,1.0047,0.9804,0.0243,0.015,0.0078,0.0056,braking
1.0159,1.0009,0.0152,1.03,0.9757,0.0543,0.0327,0.0185,0.011,normal
1.0148,0.9952,0.014,1.0184,0.9795,0.0389,0.0316,0.0176,0.0282,normal
0.9924,1.0028,0.0108,1.0226,0.9829,0.0397,0.0236,0.0137,-0.0175,normal
0.9757,0.9979,0.0146,1.0255,0.9752,0.0502,0.0502,0.0215,-0.0209,normal
1.0,0.9975,0.0092,1.0106,0.9809,0.0297,0.0242,0.0153,-0.0106,normal
0.9932,1.4701,0.2955,1.8168,0.9932,0.8236,0.2908,0.1813,-0.2908,speed_hump
0.9844,1.0011,0.0097,1.0174,0.9844,0.033,0.0229,0.0101,-0.0105,normal
1.0168,1.5542,0.3539,1.972,0.9819,0.9901,0.3438,0.2161,-0.3,speed_hump
1.0303,1.483,0.2958,1.853,1.0015,0.8515,0.2817,0.186,-0.2711,speed_hump
0.9841,1.5097,0.3354,1.913,0.969,0.944,0.3539,0.2081,-0.3539,speed_hump
1.0299,1.0122,0.009,1.0299,1.0008,0.0291,0.0144,0.006,0.0081,braking
0.9879,1.0005,0.0079,1.0094,0.9879,0.0216,0.0199,0.009,-0.0155,braking
0.9606,0.9879,0.0119,1.0028,0.9606,0.0423,0.0272,0.0069,-0.0272,braking
0.9928,0.9978,0.0123,1.0201,0.9812,0.0389,0.0389,0.0193,0.0116,normal
1.0108,1.0137,0.0077,1.0259,0.9974,0.0284,0.0175,0.0099,-0.0127,braking
1.0048,1.6708,0.4241,2.1997,1.0048,1.1949,0.4373,0.2651,-0.3593,speed_hump
1.0356,1.0179,0.0126,1.0382,0.9967,0.0415,0.0169,0.0069,0.0091,braking
0.9965,0.9973,0.0093,1.0176,0.9829,0.0347,0.0203,0.0121,0.0037,normal
1.0251,1.0093,0.0093,1.0251,0.9952,0.0299,0.0239,0.0131,0.0121,braking
1.0221,1.0051,0.0093,1.0221,0.9888,0.0333,0.0243,0.0138,0.0177,normal
1.0308,1.4161,0.2515,1.7208,1.0123,0.7085,0.2448,0.1554,-0.214,speed_hump
0.9783,0.9956,0.0135,1.0185,0.9766,0.0418,0.0319,0.0195,-0.026,normal
0.9932,1.5823,0.3714,2.0376,0.9907,1.0468,0.3755,0.2324,-0.3501,speed_hump
1.0079,1.0018,0.0098,1.0224,0.9857,0.0367,0.031,0.0141,0.0222,normal
1.0087,1.0042,0.0144,1.0214,0.9801,0.0413,0.0413,0.0179,0.0175,normal
1.0102,1.0044,0.0116,1.0225,0.9827,0.0397,0.0305,0.0188,0.0094,normal
0.9954,1.2454,0.1447,1.4317,0.9954,0.4363,0.1579,0.092,-0.1579,speed_hump
0.9983,1.5038,0.3223,1.894,0.9983,0.8957,0.2925,0.1976,-0.2925,speed_hump
0.9897,1.1335,0.5748,2.7916,0.4789,2.3127,2.3127,0.518,0.5107,pothole
0.9988,1.0,0.0101,1.0185,0.983,0.0355,0.0355,0.0151,-0.0112,normal
1.0098,1.0029,0.0093,1.0193,0.9913,0.028,0.0237,0.0114,-0.0095,braking
0.9961,1.114,0.5391,2.6747,0.52,2.1548,2.1548,0.4886,0.4761,pothole
1.0051,1.1329,0.6206,2.9176,0.4093,2.5083,2.5083,0.5689,0.5958,pothole
1.0021,1.0633,0.4025,2.1787,0.4807,1.698,1.698,0.3866,0.5214,pothole
1.0106,0.9954,0.0119,1.0202,0.9807,0.0395,0.0332,0.0129,-0.0097,normal
1.0187,1.0055,0.0093,1.0187,0.9846,0.0342,0.0182,0.006,0.0006,braking
1.006,0.9976,0.0168,1.0183,0.9664,0.0519,0.0519,0.0245,0.0231,normal
0.9816,0.9955,0.0138,1.0153,0.969,0.0464,0.0252,0.017,0.0126,braking
0.9763,0.9963,0.0139,1.0191,0.9763,0.0429,0.0299,0.0077,-0.0027,braking
1.0032,0.9954,0.0096,1.0147,0.9782,0.0365,0.0274,0.0126,0.0251,normal
1.0091,1.191,0.8509,3.6594,0.2715,3.3879,3.3879,0.7613,0.7376,pothole
0.9784,0.9984,0.0129,1.0223,0.9777,0.0446,0.0319,0.0177,-0.0255,normal
0.995,1.1256,0.5396,2.7046,0.596,2.1086,2.1086,0.4781,0.399,pothole
1.0117,1.0024,0.008,1.0124,0.9899,0.0224,0.0212,0.0085,0.0077,normal
1.0058,1.0018,0.0086,1.0142,0.9859,0.0283,0.0282,0.0124,-0.0084,normal
0.981,0.9876,0.0045,0.9942,0.981,0.0131,0.0114,0.006,-0.0091,braking
0.9962,0.9977,0.007,1.0125,0.9887,0.0239,0.016,0.0086,-0.0086,braking
0.9975,1.0008,0.007,1.0114,0.9863,0.0252,0.0181,0.0091,-0.0021,normal
1.0025,1.1277,0.5719,2.7897,0.5198,2.2699,2.2699,0.5141,0.4827,pothole
1.0135,1.0912,0.5193,2.5227,0.3214,2.2013,2.2013,0.4929,0.6921,pothole
1.0156,1.0015,0.0177,1.0243,0.9719,0.0524,0.0284,0.0141,0.018,normal
0.9857,1.1328,0.6854,3.0847,0.2738,2.8109,2.8109,0.6248,0.7119,pothole
0.9884,0.992,0.0077,1.0065,0.9809,0.0255,0.0255,0.009,0.003,braking
0.9997,1.3162,0.1969,1.545,0.9997,0.5453,0.1918,0.1204,-0.1888,speed_hump
1.0153,0.9989,0.0149,1.021,0.9751,0.0459,0.0398,0.0148,0.004,normal
1.0206,1.66,0.4126,2.1528,0.9813,1.1715,0.4273,0.256,-0.4067,speed_hump
1.0033,1.0359,0.4021,2.0651,0.2975,1.7677,1.7677,0.402,0.7059,pothole
1.014,1.0029,0.0114,1.0258,0.9841,0.0417,0.03,0.0141,0.0151,normal
0.996,0.9995,0.0102,1.0135,0.9791,0.0345,0.0271,0.0163,-0.0059,normal
0.9997,1.4025,0.2477,1.6987,0.9997,0.6991,0.2557,0.1547,-0.2552,speed_hump
0.9956,1.4628,0.3056,1.8445,0.9443,0.9002,0.3318,0.1944,-0.3158,speed_hump
0.9828,0.9928,0.0114,1.0106,0.9767,0.0339,0.0278,0.0173,-0.0278,normal
1.0049,1.0092,0.0049,1.0162,0.9994,0.0168,0.013,0.0049,-0.0037,braking
1.0221,1.0104,0.0075,1.0221,0.9992,0.0229,0.0179,0.0103,0.0157,braking
1.0278,1.0034,0.0143,1.0278,0.9858,0.042,0.0372,0.0167,0.0144,normal
0.9852,1.0679,0.4841,2.3806,0.3063,2.0743,2.0743,0.4768,0.6789,pothole
0.9607,0.9727,0.0168,1.0062,0.9479,0.0583,0.0203,0.0107,0.0045,braking
0.9877,0.9914,0.0136,1.0149,0.9717,0.0431,0.0204,0.0125,0.016,braking
0.9876,1.3396,0.2128,1.6105,0.9876,0.623,0.2428,0.134,-0.2428,speed_hump
1.0115,1.1622,0.7465,3.3124,0.3008,3.0116,3.0116,0.6746,0.7108,pothole
1.0222,1.0017,0.011,1.0222,0.9868,0.0354,0.026,0.0097,0.0095,braking
1.0053,1.5623,0.3583,2.0003,0.9943,1.006,0.338,0.2223,-0.3288,speed_hump
0.9881,0.9979,0.0071,1.0084,0.9859,0.0225,0.0128,0.01,-0.01,braking
1.0107,1.0031,0.0074,1.0143,0.9882,0.0262,0.0206,0.0073,-0.0036,normal
1.0168,1.3884,0.2427,1.6655,0.9842,0.6813,0.2647,0.1478,-0.2029,speed_hump
1.0044,1.0951,0.4711,2.4563,0.5676,1.8887,1.8887,0.4319,0.4368,pothole
1.0084,1.1961,0.7273,3.3411,0.562,2.7792,2.7792,0.6307,0.4464,pothole
1.0087,1.6155,0.3845,2.074,1.0087,1.0653,0.3576,0.2352,-0.3576,speed_hump
1.0086,1.0058,0.0108,1.029,0.9858,0.0431,0.0275,0.0105,0.0,normal
1.0116,1.0054,0.0094,1.0261,0.9897,0.0365,0.0365,0.0134,0.0133,normal
1.0038,1.4902,0.3067,1.8521,0.9981,0.854,0.3053,0.1891,-0.3053,speed_hump
0.9601,0.9793,0.0137,0.9985,0.9601,0.0384,0.0218,0.006,-0.0041,braking
1.0022,1.0009,0.0111,1.0233,0.9838,0.0394,0.0353,0.0169,-0.004,normal
1.0026,0.9994,0.0072,1.006,0.9796,0.0264,0.0249,0.006,-0.0012,normal
0.9671,1.0401,0.425,2.1117,0.2359,1.8758,1.8758,0.4178,0.7312,pothole
1.0188,1.6598,0.4127,2.1861,0.9952,1.1909,0.4138,0.262,-0.4046,speed_hump
0.9645,1.4047,0.2704,1.7404,0.9594,0.781,0.3046,0.173,-0.2907,speed_hump
1.0051,1.0035,0.0106,1.0207,0.9894,0.0314,0.0314,0.0164,-0.008,normal
0.9889,1.046,0.4309,2.1683,0.2844,1.8839,1.8839,0.4241,0.7046,pothole
1.0393,1.0233,0.0136,1.0393,1.0004,0.0389,0.0162,0.0071,0.003,braking
1.0249,1.0101,0.0126,1.0265,0.99,0.0365,0.035,0.0188,0.0051,normal
1.0108,1.0163,0.0087,1.0313,0.9987,0.0326,0.0193,0.0095,-0.0069,braking
1.0257,1.0223,0.0117,1.0417,1.0019,0.0398,0.0263,0.0127,-0.016,braking
1.0136,1.1119,0.4724,2.48,0.5939,1.886,1.886,0.433,0.4197,pothole
1.0053,1.4921,0.2992,1.8396,1.0053,0.8343,0.299,0.1831,-0.299,speed_hump
1.0174,0.9945,0.012,1.0174,0.9724,0.045,0.0245,0.0123,0.0229,normal
1.004,1.001,0.0127,1.0265,0.9843,0.0423,0.036,0.0195,0.0134,normal
1.0162,1.0001,0.0073,1.0162,0.9922,0.0241,0.0226,0.0079,0.0226,normal
0.9722,1.6725,0.4349,2.2011,0.9722,1.2288,0.4172,0.2682,-0.4172,speed_hump
1.0115,1.4155,0.258,1.7266,0.9973,0.7293,0.2753,0.1605,-0.2362,speed_hump
0.9538,0.9762,0.0136,1.0021,0.9538,0.0483,0.023,0.0121,-0.0154,braking
1.0023,1.0061,0.0056,1.0139,0.9947,0.0192,0.0131,0.0067,0.0076,braking
0.971,0.9852,0.0092,1.0026,0.971,0.0317,0.015,0.0093,-0.0022,braking
0.9888,1.1493,0.6996,3.1639,0.3403,2.8236,2.8236,0.6315,0.6485,pothole
1.0038,1.1122,0.5825,2.75,0.3258,2.4243,2.4243,0.5491,0.6781,pothole
1.0088,1.0036,0.0119,1.0262,0.9802,0.0461,0.0314,0.0148,0.0118,normal
1.0247,1.5766,0.358,2.0107,1.0017,1.009,0.3744,0.2217,-0.2939,speed_hump
1.0087,1.0018,0.0083,1.0179,0.9892,0.0287,0.0176,0.0099,-0.0092,normal
0.982,1.1208,0.585,2.7947,0.4117,2.3831,2.3831,0.5381,0.5703,pothole
0.9951,1.1879,0.8303,3.5987,0.2979,3.3008,3.3008,0.7422,0.6972,pothole
1.0006,1.0834,0.4681,2.3872,0.4207,1.9666,1.9666,0.4483,0.5799,pothole
0.9953,1.0037,0.0073,1.0177,0.9929,0.0248,0.0167,0.009,0.0024,braking
0.9576,0.9842,0.0169,1.016,0.9576,0.0584,0.0231,0.0098,-0.0164,braking
0.9987,1.0018,0.019,1.0389,0.9744,0.0645,0.0408,0.0205,0.0009,normal
1.0002,0.9992,0.0143,1.0191,0.962,0.0572,0.0406,0.0165,-0.0189,normal
0.9945,1.0015,0.0067,1.016,0.9945,0.0215,0.0157,0.0083,-0.0046,braking
1.0065,1.0305,0.387,2.0173,0.3135,1.7037,1.7037,0.3914,0.693,pothole
1.0063,0.9918,0.0114,1.0063,0.9686,0.0378,0.0239,0.0108,0.0003,normal
0.9915,1.5606,0.3545,1.9978,0.9915,1.0063,0.3432,0.2214,-0.3395,speed_hump
0.9991,1.1401,0.6606,3.02,0.3086,2.7113,2.7113,0.6148,0.6904,pothole
1.0037,0.9995,0.0104,1.009,0.9741,0.0349,0.0317,0.0132,0.0084,normal
1.0045,1.067,0.4636,2.3495,0.3908,1.9587,1.9587,0.4455,0.6137,pothole
0.9657,1.3173,0.2091,1.5736,0.9657,0.6079,0.2195,0.1312,-0.2195,speed_hump
1.0123,1.4257,0.2665,1.7592,0.9981,0.7611,0.2721,0.1676,-0.2385,speed_hump
1.0317,1.1226,0.5238,2.6513,0.5977,2.0536,2.0536,0.4778,0.434,pothole
1.01,1.4682,0.2911,1.8171,1.01,0.8071,0.2673,0.1782,-0.2673,speed_hump
0.9683,0.9874,0.015,1.0144,0.9606,0.0538,0.0297,0.0137,0.0077,braking
1.0065,0.9956,0.015,1.024,0.9658,0.0582,0.0407,0.0145,0.0407,normal
0.9995,1.2024,0.83,3.6356,0.4074,3.2283,3.2283,0.7268,0.5921,pothole
1.016,1.0012,0.0119,1.016,0.9751,0.0409,0.0267,0.0113,0.0117,normal
1.0073,1.0021,0.0082,1.0091,0.9816,0.0275,0.0275,0.0094,-0.0017,normal
0.9983,1.3389,0.2258,1.6162,0.9552,0.661,0.2443,0.1421,-0.202,speed_hump
0.993,0.9984,0.01,1.0176,0.9857,0.0319,0.0224,0.0121,-0.0029,normal
0.9914,1.0016,0.0114,1.0279,0.9872,0.0407,0.0281,0.0131,-0.0096,normal
0.9931,0.9955,0.0092,1.0121,0.9801,0.032,0.0276,0.0142,-0.019,normal
0.9911,0.9939,0.0173,1.0164,0.9613,0.055,0.0482,0.0231,-0.0252,normal
1.0015,0.9974,0.011,1.0202,0.9838,0.0364,0.0239,0.0152,0.0136,normal
0.9841,1.4666,0.2994,1.8163,0.9841,0.8322,0.3192,0.1841,-0.3192,speed_hump
1.0131,0.9969,0.0128,1.018,0.9682,0.0499,0.0499,0.0161,0.0449,normal
0.9901,0.9951,0.0145,1.0169,0.9593,0.0576,0.0334,0.0134,0.0307,braking
0.9842,1.0462,0.3583,2.0128,0.4727,1.5402,1.5402,0.3542,0.5116,pothole
1.0401,1.0272,0.0057,1.0401,1.021,0.0191,0.0191,0.0068,0.0191,braking
0.9817,1.4393,0.2785,1.7725,0.9817,0.7907,0.2864,0.1723,-0.2864,speed_hump
1.0171,0.999,0.0115,1.0171,0.9793,0.0378,0.0261,0.0137,0.0242,normal
0.9936,0.9988,0.008,1.0142,0.9835,0.0306,0.0217,0.0101,-0.0124,normal
0.977,1.1768,0.6952,3.2245,0.5563,2.6682,2.6682,0.5976,0.4207,pothole
0.9891,1.5266,0.3381,1.9222,0.9785,0.9437,0.3531,0.2085,-0.3397,speed_hump
1.0066,1.0035,0.009,1.0163,0.989,0.0273,0.0273,0.011,0.0057,normal
1.0019,0.9988,0.015,1.0248,0.9714,0.0534,0.0328,0.0159,-0.0229,normal
1.0314,1.0252,0.0082,1.0358,1.0058,0.03,0.0197,0.0084,0.0086,braking
1.0009,1.0051,0.0069,1.0153,0.9969,0.0184,0.0174,0.0093,-0.01,normal
1.0113,1.15,0.6308,2.9834,0.4811,2.5023,2.5023,0.5651,0.5302,pothole
1.0057,1.0003,0.009,1.0178,0.989,0.0288,0.0248,0.0092,-0.0003,normal
1.0011,1.0535,0.4648,2.2767,0.2533,2.0235,2.0235,0.459,0.7478,pothole
1.0076,1.2725,0.1704,1.4702,0.9977,0.4725,0.1683,0.1039,-0.1595,speed_hump
0.9892,0.9958,0.0098,1.0102,0.9745,0.0357,0.0357,0.0122,-0.0094,normal
1.007,0.9928,0.0123,1.007,0.9679,0.0391,0.0355,0.0127,0.0023,normal
1.0176,1.0414,0.3788,2.0432,0.3978,1.6454,1.6454,0.3751,0.6197,pothole
0.9487,0.968,0.012,0.9878,0.9487,0.0391,0.0177,0.0114,-0.0173,braking
0.9669,1.3825,0.251,1.6894,0.9669,0.7226,0.2615,0.1578,-0.2502,speed_hump
1.0148,1.006,0.0103,1.0189,0.9927,0.0262,0.0223,0.0117,0.0182,normal
1.0087,1.1973,0.7731,3.4639,0.4571,3.0068,3.0068,0.676,0.5516,pothole
0.9989,1.1606,0.7477,3.313,0.295,3.018,3.018,0.68,0.7039,pothole
1.0177,1.4664,0.2857,1.8104,1.0091,0.8014,0.284,0.1771,-0.284,speed_hump
1.026,1.4039,0.2501,1.7199,1.0021,0.7178,0.2669,0.1569,-0.1889,speed_hump
0.9915,0.9982,0.0092,1.0118,0.978,0.0339,0.0204,0.0126,-0.0204,normal
0.9963,1.0055,0.0106,1.0238,0.9867,0.0371,0.0263,0.0116,-0.0115,braking
0.9991,1.1668,0.7274,3.2706,0.3575,2.9132,2.9132,0.6553,0.6417,pothole
1.0032,1.0026,0.003,1.0082,0.9968,0.0114,0.0072,0.0039,-0.0026,normal
1.0169,1.2479,0.1629,1.467,0.9718,0.4952,0.1818,0.105,-0.1361,speed_hump
0.9853,1.1406,0.6664,3.0671,0.3965,2.6706,2.6706,0.6064,0.5888,pothole
1.0002,0.9928,0.0076,1.0023,0.9765,0.0258,0.0185,0.0099,0.0164,normal
0.9976,1.1588,0.6982,3.1717,0.3593,2.8124,2.8124,0.6265,0.6383,pothole
1.0113,1.0013,0.017,1.0188,0.966,0.0528,0.0503,0.0198,-0.0061,normal
0.9872,0.9966,0.0091,1.0157,0.9848,0.031,0.0193,0.01,-0.003,normal
1.0238,1.0233,0.0075,1.0368,1.0089,0.0279,0.013,0.0072,-0.013,braking
0.9967,1.479,0.2966,1.8307,0.9967,0.834,0.2957,0.1819,-0.2957,speed_hump
1.0279,1.0033,0.0126,1.0279,0.9819,0.046,0.0275,0.0076,0.0275,braking
0.9794,0.9973,0.0083,1.0083,0.9794,0.0289,0.0194,0.0078,-0.0194,braking
1.0003,0.9956,0.0115,1.0126,0.9674,0.0452,0.0281,0.0131,0.0106,braking
1.007,1.0021,0.0107,1.0154,0.9782,0.0372,0.0309,0.0127,0.0085,normal
1.036,1.0115,0.0113,1.036,0.9939,0.0421,0.0194,0.0109,0.0126,braking
0.9964,1.127,0.6231,2.9021,0.3476,2.5545,2.5545,0.5751,0.6488,pothole
1.0108,1.0001,0.0089,1.0121,0.9851,0.027,0.0185,0.0066,0.0053,braking
1.0048,1.2884,0.1769,1.494,0.9891,0.5049,0.216,0.1105,-0.2,speed_hump
0.9913,0.9951,0.0173,1.0247,0.9649,0.0597,0.0403,0.0215,-0.009,normal
0.9642,0.9808,0.0172,1.0089,0.9557,0.0532,0.0226,0.0094,0.0036,braking
1.0092,0.9975,0.0107,1.0092,0.9758,0.0334,0.029,0.0101,0.0034,normal
1.0105,1.0032,0.0071,1.0129,0.9894,0.0234,0.0234,0.0103,0.004,normal
1.0003,1.3621,0.228,1.6476,1.0003,0.6473,0.2292,0.1437,-0.2135,speed_hump
0.9926,1.1065,0.4788,2.4847,0.5528,1.9318,1.9318,0.437,0.4398,pothole
0.9926,1.6023,0.3867,2.0731,0.9926,1.0806,0.3583,0.2374,-0.3583,speed_hump
1.0245,1.0033,0.0137,1.0288,0.9853,0.0435,0.0392,0.0189,0.0348,normal
1.0051,1.6011,0.3755,2.051,1.0051,1.0459,0.3576,0.2312,-0.3576,speed_hump
0.9739,0.9961,0.0145,1.0202,0.9739,0.0463,0.0344,0.0131,-0.0102,normal
1.0209,0.9974,0.0149,1.0209,0.9779,0.043,0.0421,0.0223,0.0421,normal
0.9649,0.9802,0.0123,1.0027,0.9602,0.0425,0.03,0.0108,0.0047,braking
0.9714,1.4353,0.2907,1.7809,0.9714,0.8095,0.2827,0.1783,-0.252,speed_hump
0.9968,1.0001,0.0116,1.0209,0.9741,0.0467,0.0255,0.0117,-0.0023,normal
1.0152,1.0209,0.0094,1.0353,1.0078,0.0275,0.0228,0.0147,-0.0195,braking
1.0089,0.9944,0.0111,1.0089,0.9754,0.0335,0.0335,0.0125,0.0335,normal
1.0007,1.003,0.007,1.0155,0.9898,0.0257,0.0257,0.0102,-0.0148,normal
1.0073,1.1329,0.5548,2.7562,0.5876,2.1687,2.1687,0.4897,0.4198,pothole
1.0188,1.0965,0.5295,2.5806,0.3698,2.2108,2.2108,0.5064,0.649,pothole
0.9871,0.9925,0.0089,1.0052,0.9756,0.0296,0.0161,0.0129,-0.0121,normal
1.0139,1.0056,0.0093,1.0221,0.9931,0.029,0.029,0.0112,-0.0082,braking
0.9912,1.6585,0.4188,2.1458,0.9912,1.1546,0.4029,0.2557,-0.3988,speed_hump
1.0079,1.0039,0.0088,1.0176,0.9857,0.0318,0.0142,0.0072,-0.0097,braking
1.0057,1.0083,0.0093,1.0239,0.9951,0.0288,0.0288,0.0098,-0.0003,braking
1.0003,0.9978,0.0094,1.0129,0.9775,0.0354,0.0239,0.0111,-0.0127,normal
0.9878,0.9975,0.0059,1.007,0.9878,0.0192,0.0145,0.006,-0.0003,normal
0.989,1.2959,0.1891,1.5156,0.989,0.5266,0.2047,0.116,-0.2047,speed_hump
1.0071,1.2837,0.1813,1.5054,0.9927,0.5126,0.1859,0.1123,-0.1859,speed_hump
0.9949,1.0004,0.006,1.014,0.9941,0.0199,0.0159,0.0068,-0.0098,normal
1.004,0.9931,0.0123,1.0108,0.973,0.0379,0.0311,0.0159,0.0311,normal
0.9928,0.9925,0.0051,0.9972,0.983,0.0142,0.0142,0.0077,0.0082,braking
