imu_now,imu_1ago,imu_2ago,imu_rate_of_change,motion_score,camera_high,label
0.9921,0.986,1.0195,0.0062,0.1281,0,normal
0.9858,0.9921,0.986,-0.0063,0.568,0,normal
0.9909,0.9858,0.9921,0.0052,0.4201,0,normal
0.9821,0.9909,0.9858,-0.0089,0.7769,0,normal
0.9865,0.9821,0.9909,0.0045,1.1774,0,normal
1.0132,0.9865,0.9821,0.0267,1.1381,0,normal
1.005,1.0132,0.9865,-0.0082,0.675,0,normal
1.003,1.005,1.0132,-0.002,0.7132,0,normal
1.0006,1.003,1.005,-0.0024,0.6387,0,normal
0.9926,1.0006,1.003,-0.008,0.7608,0,normal
0.9847,0.9926,1.0006,-0.008,0.5363,0,normal
1.0198,0.9847,0.9926,0.0352,0.0663,0,normal
0.9859,1.0198,0.9847,-0.034,0.2844,0,normal
1.0084,0.9859,1.0198,0.0226,0.807,0,normal
0.9884,1.0084,0.9859,-0.02,0.8144,0,normal
0.9858,0.9884,1.0084,-0.0026,1.1024,0,normal
1.0047,0.9858,0.9884,0.0189,0.6954,0,normal
0.9911,1.0047,0.9858,-0.0137,0.2855,0,normal
1.0058,0.9911,1.0047,0.0148,0.3697,0,normal
0.9842,1.0058,0.9911,-0.0216,1.251,0,normal
1.0119,0.9842,1.0058,0.0277,0.8653,0,normal
1.0095,1.0119,0.9842,-0.0024,0.4863,0,normal
0.9952,1.0095,1.0119,-0.0143,0.9918,0,normal
1.0139,0.9952,1.0095,0.0186,0.7029,0,normal
1.0055,1.0139,0.9952,-0.0083,0.5242,0,normal
1.0121,1.0055,1.0139,0.0066,1.1069,0,normal
1.0085,1.0121,1.0055,-0.0037,1.1114,0,normal
0.9966,1.0085,1.0121,-0.0119,0.3377,0,normal
1.014,0.9966,1.0085,0.0174,0.0137,0,normal
1.0114,1.014,0.9966,-0.0026,1.0157,0,normal
1.0026,1.0114,1.014,-0.0088,1.2946,0,normal
0.9815,1.0026,1.0114,-0.0211,0.7746,0,normal
1.0104,0.9815,1.0026,0.029,0.8339,0,normal
0.9896,1.0104,0.9815,-0.0209,0.55,0,normal
0.9827,0.9896,1.0104,-0.0068,0.7683,0,normal
1.3019,0.9827,0.9896,0.3192,1.6837,1,caution
1.2902,1.3019,0.9827,-0.0117,2.1687,1,caution
1.3135,1.2902,1.3019,0.0233,1.4376,0,caution
1.7813,1.3135,1.2902,0.4678,2.4053,1,caution
1.8047,1.7813,1.3135,0.0234,1.7143,1,caution
1.4824,1.8047,1.7813,-0.3223,2.3906,1,caution
1.5189,1.4824,1.8047,0.0365,2.1733,1,caution
1.2015,1.5189,1.4824,-0.3174,1.5447,1,caution
1.1829,1.2015,1.5189,-0.0186,1.3291,0,caution
1.0064,1.1829,1.2015,-0.1764,2.3757,1,caution
1.0111,1.0064,1.1829,0.0047,1.5568,1,caution
0.9918,1.0111,1.0064,-0.0194,0.7065,0,normal
1.0156,0.9918,1.0111,0.0239,0.1826,0,normal
0.9955,1.0156,0.9918,-0.0201,0.0802,0,normal
0.9958,0.9955,1.0156,0.0003,0.8198,0,normal
1.0118,0.9958,0.9955,0.016,0.2385,0,normal
1.0116,1.0118,0.9958,-0.0002,0.809,0,normal
0.9858,1.0116,1.0118,-0.0258,1.2157,0,normal
0.9831,0.9858,1.0116,-0.0027,0.6742,0,normal
0.9953,0.9831,0.9858,0.0122,0.8542,0,normal
1.0164,0.9953,0.9831,0.0211,0.5592,0,normal
1.006,1.0164,0.9953,-0.0103,1.3992,0,normal
1.0101,1.006,1.0164,0.0041,1.351,0,normal
0.9827,1.0101,1.006,-0.0274,0.0695,0,normal
1.006,0.9827,1.0101,0.0233,0.3625,0,normal
0.9935,1.006,0.9827,-0.0125,0.7336,0,normal
0.992,0.9935,1.006,-0.0015,0.3274,0,normal
0.9959,0.992,0.9935,0.0039,0.8432,0,normal
0.9929,0.9959,0.992,-0.003,1.1914,0,normal
0.9858,0.9929,0.9959,-0.0071,1.2932,0,normal
0.9926,0.9858,0.9929,0.0068,0.9189,0,normal
0.986,0.9926,0.9858,-0.0066,0.2498,0,normal
0.9825,0.986,0.9926,-0.0035,0.943,0,normal
0.9932,0.9825,0.986,0.0108,0.1263,0,normal
1.0103,0.9932,0.9825,0.0171,0.962,0,normal
1.0195,1.0103,0.9932,0.0092,0.4356,0,normal
1.0092,1.0195,1.0103,-0.0104,0.1801,0,normal
1.0116,1.0092,1.0195,0.0024,0.4226,0,normal
1.0029,1.0116,1.0092,-0.0086,0.7562,0,normal
1.0169,1.0029,1.0116,0.014,0.2714,0,normal
0.9956,1.0169,1.0029,-0.0213,0.1272,0,normal
0.9961,0.9956,1.0169,0.0005,0.3843,0,normal
1.0179,0.9961,0.9956,0.0217,1.1116,0,normal
1.0073,1.0179,0.9961,-0.0106,0.0994,0,normal
0.981,1.0073,1.0179,-0.0263,0.6601,0,normal
1.0037,0.981,1.0073,0.0227,0.8559,0,normal
1.0166,1.0037,0.981,0.0129,1.0253,0,normal
1.0135,1.0166,1.0037,-0.003,0.5894,0,normal
0.9904,1.0135,1.0166,-0.0232,0.509,0,normal
0.9991,0.9904,1.0135,0.0087,0.1725,0,normal
0.9846,0.9991,0.9904,-0.0145,0.837,0,normal
1.0108,0.9846,0.9991,0.0262,0.9727,0,normal
0.9828,1.0108,0.9846,-0.028,1.3075,0,normal
1.0032,0.9828,1.0108,0.0204,0.9148,0,normal
1.0152,1.0032,0.9828,0.0119,0.6524,0,normal
1.0189,1.0152,1.0032,0.0037,0.2392,0,normal
0.9902,1.0189,1.0152,-0.0287,1.2655,0,normal
0.9961,0.9902,1.0189,0.0059,0.8898,0,normal
0.9936,0.9961,0.9902,-0.0025,1.1523,0,normal
0.9837,0.9936,0.9961,-0.0098,0.3595,0,normal
1.0097,0.9837,0.9936,0.026,0.111,0,normal
0.9839,1.0097,0.9837,-0.0258,0.408,0,normal
0.9802,0.9839,1.0097,-0.0037,0.7239,0,normal
0.9997,0.9802,0.9839,0.0195,0.8879,0,normal
1.0184,0.9997,0.9802,0.0187,1.3518,0,normal
0.9901,1.0184,0.9997,-0.0283,0.6203,0,normal
0.9903,0.9901,1.0184,0.0002,1.3535,0,normal
1.0036,0.9903,0.9901,0.0132,0.1135,0,normal
0.9801,1.0036,0.9903,-0.0234,1.2406,0,normal
0.9882,0.9801,1.0036,0.008,0.5311,0,normal
0.9866,0.9882,0.9801,-0.0016,0.5988,0,normal
0.9997,0.9866,0.9882,0.0131,0.8948,0,normal
0.9993,0.9997,0.9866,-0.0004,0.0577,0,normal
1.0188,0.9993,0.9997,0.0194,0.116,0,normal
1.0029,1.0188,0.9993,-0.0159,0.3819,0,normal
1.0084,1.0029,1.0188,0.0055,0.3185,0,normal
0.9887,1.0084,1.0029,-0.0197,0.2877,0,normal
1.0029,0.9887,1.0084,0.0142,0.0178,0,normal
1.0005,1.0029,0.9887,-0.0024,0.6228,0,normal
0.9941,1.0005,1.0029,-0.0064,0.1211,0,normal
0.994,0.9941,1.0005,-0.0002,0.3978,0,normal
1.0161,0.994,0.9941,0.0221,1.3248,0,normal
0.9907,1.0161,0.994,-0.0253,0.4893,0,normal
1.0043,0.9907,1.0161,0.0135,0.9562,0,normal
1.0075,1.0043,0.9907,0.0033,0.8769,0,normal
1.0174,1.0075,1.0043,0.0099,0.275,0,normal
0.985,1.0174,1.0075,-0.0324,0.4735,0,normal
1.0133,0.985,1.0174,0.0283,0.5331,0,normal
0.988,1.0133,0.985,-0.0253,0.9924,0,normal
0.9979,0.988,1.0133,0.0099,1.0327,0,normal
0.986,0.9979,0.988,-0.0119,0.6097,0,normal
1.0195,0.986,0.9979,0.0334,0.5179,0,normal
1.0055,1.0195,0.986,-0.014,0.8662,0,normal
0.9975,1.0055,1.0195,-0.0079,0.9002,0,normal
0.9982,0.9975,1.0055,0.0007,0.2403,0,normal
0.9964,0.9982,0.9975,-0.0019,0.8253,0,normal
0.9948,0.9964,0.9982,-0.0016,0.8308,0,normal
0.9883,0.9948,0.9964,-0.0064,1.3262,0,normal
1.0172,0.9883,0.9948,0.0289,1.2339,0,normal
1.0122,1.0172,0.9883,-0.005,0.7453,0,normal
0.9825,1.0122,1.0172,-0.0296,0.89,0,normal
0.993,0.9825,1.0122,0.0104,0.5051,0,normal
0.998,0.993,0.9825,0.0051,0.4295,0,normal
1.0067,0.998,0.993,0.0087,0.5345,0,normal
0.9888,1.0067,0.998,-0.0179,0.9834,0,normal
0.9933,0.9888,1.0067,0.0044,0.4029,0,normal
0.9873,0.9933,0.9888,-0.006,0.9273,0,normal
0.9841,0.9873,0.9933,-0.0032,0.319,0,normal
0.9833,0.9841,0.9873,-0.0007,1.3932,0,normal
1.0056,0.9833,0.9841,0.0223,0.271,0,normal
1.0196,1.0056,0.9833,0.014,0.2339,0,normal
1.0157,1.0196,1.0056,-0.0039,0.302,0,normal
0.995,1.0157,1.0196,-0.0208,1.2499,0,normal
0.9987,0.995,1.0157,0.0037,0.3305,0,normal
0.9936,0.9987,0.995,-0.0051,0.4829,0,normal
0.9856,0.9936,0.9987,-0.008,0.0893,0,normal
0.9844,0.9856,0.9936,-0.0012,1.3113,0,normal
0.9951,0.9844,0.9856,0.0106,0.4965,0,normal
1.0096,0.9951,0.9844,0.0145,1.3951,0,normal
0.9829,1.0096,0.9951,-0.0266,0.8073,0,normal
0.9985,0.9829,1.0096,0.0156,0.0568,0,normal
0.9883,0.9985,0.9829,-0.0102,0.7545,0,normal
1.0187,0.9883,0.9985,0.0304,1.1598,0,normal
1.0064,1.0187,0.9883,-0.0122,1.3735,0,normal
0.9952,1.0064,1.0187,-0.0112,0.2763,0,normal
0.9928,0.9952,1.0064,-0.0024,0.9644,0,normal
1.013,0.9928,0.9952,0.0203,0.0094,0,normal
0.9948,1.013,0.9928,-0.0182,0.9034,0,normal
1.0,0.9948,1.013,0.0052,0.0044,0,normal
1.0099,1.0,0.9948,0.0099,0.6931,0,normal
1.0114,1.0099,1.0,0.0015,0.7181,0,normal
0.99,1.0114,1.0099,-0.0214,0.2506,0,normal
0.993,0.99,1.0114,0.0031,0.8053,0,normal
0.9977,0.993,0.99,0.0046,1.1586,0,normal
0.9871,0.9977,0.993,-0.0105,1.1125,0,normal
0.9876,0.9871,0.9977,0.0005,0.5117,0,normal
1.0094,0.9876,0.9871,0.0218,0.9457,0,normal
1.0186,1.0094,0.9876,0.0092,1.3895,0,normal
0.9818,1.0186,1.0094,-0.0369,0.8546,0,normal
0.9969,0.9818,1.0186,0.0151,0.1917,0,normal
0.9953,0.9969,0.9818,-0.0015,0.6017,0,normal
0.9996,0.9953,0.9969,0.0042,1.317,0,normal
0.9967,0.9996,0.9953,-0.0028,0.5519,0,normal
0.9934,0.9967,0.9996,-0.0033,1.2164,0,normal
0.9917,0.9934,0.9967,-0.0017,0.7594,0,normal
0.9865,0.9917,0.9934,-0.0052,0.5427,0,normal
1.0199,0.9865,0.9917,0.0334,0.9686,0,normal
1.0067,1.0199,0.9865,-0.0132,0.9086,0,normal
0.9877,1.0067,1.0199,-0.019,0.166,0,normal
1.0166,0.9877,1.0067,0.029,1.1727,0,normal
0.9901,1.0166,0.9877,-0.0266,0.1785,0,normal
0.9881,0.9901,1.0166,-0.0019,0.3044,0,normal
0.9829,0.9881,0.9901,-0.0053,0.633,0,normal
1.0043,0.9829,0.9881,0.0215,0.6906,0,normal
1.0003,1.0043,0.9829,-0.0041,1.3349,0,normal
0.9927,1.0003,1.0043,-0.0076,0.4168,0,normal
0.9949,0.9927,1.0003,0.0023,1.1496,0,normal
0.9993,0.9949,0.9927,0.0044,1.3428,0,normal
0.985,0.9993,0.9949,-0.0143,0.5444,0,normal
1.01,0.985,0.9993,0.0249,0.7385,0,normal
1.0187,1.01,0.985,0.0087,1.0817,0,normal
1.0127,1.0187,1.01,-0.0059,0.7195,0,normal
1.0075,1.0127,1.0187,-0.0052,0.3616,0,normal
1.0189,1.0075,1.0127,0.0114,0.3128,0,normal
1.0068,1.0189,1.0075,-0.0121,0.0672,0,normal
1.0142,1.0068,1.0189,0.0075,1.1356,0,normal
1.0021,1.0142,1.0068,-0.0121,1.3558,0,normal
0.9973,1.0021,1.0142,-0.0049,0.5522,0,normal
0.9911,0.9973,1.0021,-0.0062,1.0762,0,normal
1.0111,0.9911,0.9973,0.0201,0.4551,0,normal
1.0144,1.0111,0.9911,0.0033,1.2298,0,normal
1.0008,1.0144,1.0111,-0.0136,0.5592,0,normal
1.015,1.0008,1.0144,0.0141,0.1196,0,normal
1.0078,1.015,1.0008,-0.0072,0.0917,0,normal
0.9952,1.0078,1.015,-0.0126,0.5329,0,normal
0.9808,0.9952,1.0078,-0.0144,0.7777,0,normal
0.991,0.9808,0.9952,0.0102,1.001,0,normal
1.0057,0.991,0.9808,0.0147,0.7853,0,normal
0.9829,1.0057,0.991,-0.0228,0.0305,0,normal
1.0174,0.9829,1.0057,0.0344,0.1286,0,normal
1.0157,1.0174,0.9829,-0.0016,0.3173,0,normal
1.0131,1.0157,1.0174,-0.0027,0.2119,0,normal
0.9822,1.0131,1.0157,-0.0309,1.2804,0,normal
1.0024,0.9822,1.0131,0.0203,0.7341,0,normal
0.9846,1.0024,0.9822,-0.0179,0.5905,0,normal
1.0182,0.9846,1.0024,0.0337,0.58,0,normal
1.0093,1.0182,0.9846,-0.0089,1.3766,0,normal
1.0075,1.0093,1.0182,-0.0018,1.2572,0,normal
0.9821,1.0075,1.0093,-0.0254,0.0393,0,normal
1.0086,0.9821,1.0075,0.0265,0.0071,0,normal
0.9901,1.0086,0.9821,-0.0186,0.7263,0,normal
0.9993,0.9901,1.0086,0.0093,1.2133,0,normal
1.01,0.9993,0.9901,0.0107,0.8646,0,normal
1.0108,1.01,0.9993,0.0008,0.1531,0,normal
1.0023,1.0108,1.01,-0.0085,1.1001,0,normal
0.9971,1.0023,1.0108,-0.0052,0.7778,0,normal
0.9897,0.9971,1.0023,-0.0074,1.3937,0,normal
1.0062,0.9897,0.9971,0.0165,0.2145,0,normal
0.9959,1.0062,0.9897,-0.0103,0.8586,0,normal
1.0008,0.9959,1.0062,0.0049,1.2944,0,normal
0.9985,1.0008,0.9959,-0.0023,0.6313,0,normal
0.9948,0.9985,1.0008,-0.0037,1.3628,0,normal
0.9836,0.9948,0.9985,-0.0113,1.3278,0,normal
0.9834,0.9836,0.9948,-0.0002,1.2363,0,normal
1.0065,0.9834,0.9836,0.0231,0.039,0,normal
0.9826,1.0065,0.9834,-0.0239,0.4084,0,normal
1.0179,0.9826,1.0065,0.0353,0.2105,0,normal
0.9837,1.0179,0.9826,-0.0342,1.1079,0,normal
2.8148,0.9837,1.0179,1.8311,2.0682,1,hazard
2.8142,2.8148,0.9837,-0.0006,3.7314,1,hazard
0.3092,2.8142,2.8148,-2.505,2.256,1,hazard
1.3994,0.3092,2.8142,1.0903,2.9799,1,hazard
1.1053,1.3994,0.3092,-0.2941,2.597,1,hazard
0.9947,1.1053,1.3994,-0.1106,2.23,1,hazard
1.0101,0.9947,1.1053,0.0154,2.1237,1,hazard
1.0012,1.0101,0.9947,-0.0089,0.0544,0,normal
0.9967,1.0012,1.0101,-0.0045,0.6282,0,normal
1.0019,0.9967,1.0012,0.0053,1.3605,0,normal
1.0157,1.0019,0.9967,0.0137,0.4145,0,normal
1.004,1.0157,1.0019,-0.0117,1.2824,0,normal
1.0198,1.004,1.0157,0.0157,0.9713,0,normal
0.9933,1.0198,1.004,-0.0265,0.4435,0,normal
1.0178,0.9933,1.0198,0.0245,0.2182,0,normal
0.9925,1.0178,0.9933,-0.0252,0.8172,0,normal
0.9824,0.9925,1.0178,-0.0101,0.4218,0,normal
1.0033,0.9824,0.9925,0.0209,1.2784,0,normal
0.9948,1.0033,0.9824,-0.0085,0.1136,0,normal
0.9898,0.9948,1.0033,-0.005,0.3305,0,normal
1.0012,0.9898,0.9948,0.0114,1.2697,0,normal
1.0087,1.0012,0.9898,0.0075,1.015,0,normal
0.9917,1.0087,1.0012,-0.017,0.1599,0,normal
1.0139,0.9917,1.0087,0.0222,0.5667,0,normal
0.9892,1.0139,0.9917,-0.0247,0.0605,0,normal
1.0135,0.9892,1.0139,0.0243,0.5595,0,normal
1.0047,1.0135,0.9892,-0.0088,0.7518,0,normal
0.9845,1.0047,1.0135,-0.0202,0.679,0,normal
0.9878,0.9845,1.0047,0.0032,1.2423,0,normal
1.0016,0.9878,0.9845,0.0139,0.2414,0,normal
0.9984,1.0016,0.9878,-0.0033,0.8161,0,normal
0.9803,0.9984,1.0016,-0.0181,0.2747,0,normal
1.0028,0.9803,0.9984,0.0225,0.4591,0,normal
1.0184,1.0028,0.9803,0.0155,0.9489,0,normal
0.992,1.0184,1.0028,-0.0263,0.6802,0,normal
0.9935,0.992,1.0184,0.0014,0.1899,0,normal
1.0179,0.9935,0.992,0.0244,1.3441,0,normal
1.0079,1.0179,0.9935,-0.0099,0.886,0,normal
1.0024,1.0079,1.0179,-0.0056,1.3098,0,normal
1.0184,1.0024,1.0079,0.0161,0.9701,0,normal
1.0194,1.0184,1.0024,0.001,0.2986,0,normal
0.9817,1.0194,1.0184,-0.0378,0.1527,0,normal
0.9954,0.9817,1.0194,0.0138,0.8511,0,normal
1.0088,0.9954,0.9817,0.0134,1.3214,0,normal
0.9886,1.0088,0.9954,-0.0202,0.7457,0,normal
0.9883,0.9886,1.0088,-0.0004,1.1109,0,normal
1.0091,0.9883,0.9886,0.0209,1.3664,0,normal
1.0188,1.0091,0.9883,0.0097,0.0817,0,normal
0.9986,1.0188,1.0091,-0.0202,0.1267,0,normal
1.0061,0.9986,1.0188,0.0075,0.34,0,normal
1.0062,1.0061,0.9986,0.0001,1.0287,0,normal
1.0051,1.0062,1.0061,-0.0011,0.2474,0,normal
0.9902,1.0051,1.0062,-0.0149,1.0571,0,normal
1.0044,0.9902,1.0051,0.0141,0.9665,0,normal
0.9962,1.0044,0.9902,-0.0081,1.2936,0,normal
1.0088,0.9962,1.0044,0.0126,0.9658,0,normal
1.0132,1.0088,0.9962,0.0044,1.3125,0,normal
0.99,1.0132,1.0088,-0.0232,0.2827,0,normal
0.983,0.99,1.0132,-0.007,0.3286,0,normal
0.9811,0.983,0.99,-0.0019,0.3383,0,normal
0.9994,0.9811,0.983,0.0183,0.4518,0,normal
1.0012,0.9994,0.9811,0.0018,0.9944,0,normal
0.9853,1.0012,0.9994,-0.0159,0.2231,0,normal
1.0103,0.9853,1.0012,0.025,0.2009,0,normal
1.0098,1.0103,0.9853,-0.0005,0.4769,0,normal
1.0187,1.0098,1.0103,0.0088,1.0576,0,normal
0.9857,1.0187,1.0098,-0.033,0.2516,0,normal
0.9947,0.9857,1.0187,0.009,0.1205,0,normal
1.0014,0.9947,0.9857,0.0067,0.7352,0,normal
1.0138,1.0014,0.9947,0.0124,0.0926,0,normal
0.9979,1.0138,1.0014,-0.0159,0.5543,0,normal
0.9978,0.9979,1.0138,-0.0001,0.9316,0,normal
0.9809,0.9978,0.9979,-0.0169,0.3143,0,normal
1.0001,0.9809,0.9978,0.0192,0.2743,0,normal
1.0158,1.0001,0.9809,0.0157,0.4642,0,normal
1.0078,1.0158,1.0001,-0.008,1.3968,0,normal
1.0029,1.0078,1.0158,-0.0049,1.399,0,normal
0.9875,1.0029,1.0078,-0.0153,1.0029,0,normal
0.9956,0.9875,1.0029,0.0081,0.0754,0,normal
1.0189,0.9956,0.9875,0.0233,0.9874,0,normal
0.982,1.0189,0.9956,-0.0369,0.3277,0,normal
1.006,0.982,1.0189,0.0241,0.6201,0,normal
1.0102,1.006,0.982,0.0042,0.784,0,normal
1.0037,1.0102,1.006,-0.0065,1.3359,0,normal
0.9943,1.0037,1.0102,-0.0095,0.3949,0,normal
1.0059,0.9943,1.0037,0.0116,0.0686,0,normal
0.9999,1.0059,0.9943,-0.006,1.2159,0,normal
0.9846,0.9999,1.0059,-0.0153,1.0056,0,normal
1.0115,0.9846,0.9999,0.0269,1.385,0,normal
1.0011,1.0115,0.9846,-0.0104,0.4278,0,normal
0.9918,1.0011,1.0115,-0.0093,0.3901,0,normal
1.0042,0.9918,1.0011,0.0124,1.0455,0,normal
0.9805,1.0042,0.9918,-0.0236,1.0001,0,normal
0.9989,0.9805,1.0042,0.0184,1.2503,0,normal
1.0197,0.9989,0.9805,0.0208,0.6105,0,normal
0.992,1.0197,0.9989,-0.0277,0.9542,0,normal
0.9804,0.992,1.0197,-0.0116,0.2774,0,normal
1.0146,0.9804,0.992,0.0342,0.0892,0,normal
0.9819,1.0146,0.9804,-0.0327,0.0464,0,normal
0.9829,0.9819,1.0146,0.001,0.4734,0,normal
1.0116,0.9829,0.9819,0.0287,0.2875,0,normal
1.0155,1.0116,0.9829,0.0039,0.7627,0,normal
1.0145,1.0155,1.0116,-0.001,1.247,0,normal
1.0116,1.0145,1.0155,-0.003,0.5155,0,normal
1.0086,1.0116,1.0145,-0.0029,0.7119,0,normal
0.9848,1.0086,1.0116,-0.0238,0.3397,0,normal
0.9835,0.9848,1.0086,-0.0013,0.2295,0,normal
1.0162,0.9835,0.9848,0.0327,0.6857,0,normal
1.0075,1.0162,0.9835,-0.0087,0.8367,0,normal
0.9861,1.0075,1.0162,-0.0214,1.0076,0,normal
1.0151,0.9861,1.0075,0.029,0.5383,0,normal
0.9853,1.0151,0.9861,-0.0298,0.1231,0,normal
1.0074,0.9853,1.0151,0.0221,0.8979,0,normal
1.0071,1.0074,0.9853,-0.0003,0.1559,0,normal
0.9927,1.0071,1.0074,-0.0144,0.5263,0,normal
1.0129,0.9927,1.0071,0.0203,1.0134,0,normal
0.9939,1.0129,0.9927,-0.0191,1.3755,0,normal
0.9982,0.9939,1.0129,0.0044,0.8995,0,normal
1.0035,0.9982,0.9939,0.0053,0.4969,0,normal
0.9895,1.0035,0.9982,-0.014,0.3061,0,normal
1.008,0.9895,1.0035,0.0185,0.0959,0,normal
0.9982,1.008,0.9895,-0.0098,0.3334,0,normal
0.9967,0.9982,1.008,-0.0015,0.8476,0,normal
0.9925,0.9967,0.9982,-0.0043,1.0624,0,normal
1.0149,0.9925,0.9967,0.0225,1.1797,0,normal
0.9971,1.0149,0.9925,-0.0178,1.2918,0,normal
1.0192,0.9971,1.0149,0.0221,1.0995,0,normal
0.9961,1.0192,0.9971,-0.0231,0.8792,0,normal
0.9811,0.9961,1.0192,-0.015,0.9617,0,normal
1.0042,0.9811,0.9961,0.0231,1.1376,0,normal
0.9969,1.0042,0.9811,-0.0073,0.9022,0,normal
1.0037,0.9969,1.0042,0.0067,1.3657,0,normal
2.7812,1.0037,0.9969,1.7775,3.9904,1,hazard
2.7846,2.7812,1.0037,0.0034,2.0649,1,hazard
0.302,2.7846,2.7812,-2.4826,3.1149,1,hazard
1.411,0.302,2.7846,1.109,3.6886,1,hazard
1.1173,1.411,0.302,-0.2937,3.6879,1,hazard
0.9871,1.1173,1.411,-0.1303,3.5824,1,hazard
1.0113,0.9871,1.1173,0.0242,3.814,1,hazard
0.982,1.0113,0.9871,-0.0293,1.0833,0,normal
1.0005,0.982,1.0113,0.0185,0.1558,0,normal
1.0156,1.0005,0.982,0.0151,0.1427,0,normal
1.0133,1.0156,1.0005,-0.0023,0.4639,0,normal
0.9923,1.0133,1.0156,-0.021,0.7478,0,normal
0.9896,0.9923,1.0133,-0.0028,0.441,0,normal
0.9808,0.9896,0.9923,-0.0088,0.1072,0,normal
1.0116,0.9808,0.9896,0.0309,0.5003,0,normal
1.0041,1.0116,0.9808,-0.0075,1.0104,0,normal
0.9832,1.0041,1.0116,-0.0209,0.817,0,normal
0.9899,0.9832,1.0041,0.0067,1.2162,0,normal
1.0188,0.9899,0.9832,0.0289,0.5676,0,normal
0.9906,1.0188,0.9899,-0.0282,1.2823,0,normal
0.9851,0.9906,1.0188,-0.0055,0.9783,0,normal
0.9984,0.9851,0.9906,0.0133,0.9804,0,normal
0.9842,0.9984,0.9851,-0.0142,0.9566,0,normal
1.007,0.9842,0.9984,0.0228,0.6166,0,normal
0.9899,1.007,0.9842,-0.0171,0.8714,0,normal
0.9992,0.9899,1.007,0.0093,0.2695,0,normal
1.0042,0.9992,0.9899,0.005,0.601,0,normal
1.0032,1.0042,0.9992,-0.0009,0.6067,0,normal
1.0008,1.0032,1.0042,-0.0025,1.2603,0,normal
1.0109,1.0008,1.0032,0.0101,0.7008,0,normal
1.0164,1.0109,1.0008,0.0055,0.487,0,normal
1.0188,1.0164,1.0109,0.0023,0.5239,0,normal
0.9839,1.0188,1.0164,-0.0349,0.5201,0,normal
0.9923,0.9839,1.0188,0.0085,1.3244,0,normal
1.0041,0.9923,0.9839,0.0118,1.0411,0,normal
1.0095,1.0041,0.9923,0.0054,1.0471,0,normal
1.0027,1.0095,1.0041,-0.0068,1.1921,0,normal
0.9834,1.0027,1.0095,-0.0193,0.1905,0,normal
1.0187,0.9834,1.0027,0.0353,0.9214,0,normal
1.004,1.0187,0.9834,-0.0147,0.5317,0,normal
1.0034,1.004,1.0187,-0.0006,1.3219,0,normal
0.9893,1.0034,1.004,-0.0141,1.1894,0,normal
0.9984,0.9893,1.0034,0.0091,0.5682,0,normal
0.9959,0.9984,0.9893,-0.0025,0.5619,0,normal
1.0151,0.9959,0.9984,0.0193,0.4405,0,normal
